LOTTO;STATO_AUTORIZZAZIONE;Metri;TotaleMetri;Percentuale;;;;;;;;;;;
1;IN ATTESA;50.924,36;50.924,36;100,00%;;;;;;;;;;;
1A;INVIATO;6.603,74;16.933,45;39,00%;;;;;;;;;;;
1A;PROTOCOLLATO;6.361,70;16.933,45;37,57%;;;;;;;;;;;
1A;NECESSARIA INTEGRAZIONE;2.014,10;16.933,45;11,89%;;;;;;;;;;;
1A;IN FIRMA RDS;1.953,91;16.933,45;11,54%;;;;;;;;;;;
1B;PROTOCOLLATO;6.248,76;8.524,30;73,31%;;;;;;;;;;;
1B;COORDINAMENTO;2.275,54;8.524,30;26,69%;;;;;;;;;;;
2;IN ATTESA;48.530,11;48.530,11;100,00%;;;;;;;;;;;
2A;PROTOCOLLATO;2.292,29;11.611,34;19,74%;;;;;;;;;;;
2A;IN FIRMA RDS;4.174,74;11.611,34;35,95%;;;;;;;;;;;
2A;IN REDAZIONE;2.882,15;11.611,34;24,82%;;;;;;;;;;;
2A;INVIATO;643,50;11.611,34;5,54%;;;;;;;;;;;
2A;NECESSARIA INTEGRAZIONE;1.618,66;11.611,34;13,94%;;;;;;;;;;;
2B;INVIATO;3.289,70;15.330,01;21,46%;;;;;;;;;;;
2B;IN FIRMA RDS;1.801,89;15.330,01;11,75%;;;;;;;;;;;
2B;PROTOCOLLATO;10.238,42;15.330,01;66,79%;;;;;;;;;;;
3;IN ATTESA;46.251,66;46.251,66;100,00%;;;;;;;;;;;
4;IN ATTESA;56.003,02;56.003,02;100,00%;;;;;;;;;;;
5;IN ATTESA;48.332,92;48.332,92;100,00%;;;;;;;;;;;
6;IN ATTESA;58.050,03;58.050,03;100,00%;;;;;;;;;;;
7;IN ATTESA;47.183,51;47.183,51;100,00%;;;;;;;;;;;
8;IN ATTESA;19.616,90;19.616,90;100,00%;;;;;;;;;;;
